combo,groups,M74,M77,M79,M80,M81,M82,M85,M87
118,BCDFHIKL,D,F,C,K,B,H,I,L
119,BCDFHIJL,D,F,C,I,B,H,J,L
120,BCDFHIJK,D,F,C,K,B,H,J,I
121,BCDFGJKL,D,F,C,K,B,J,G,L
122,BCDFGIKL,D,F,C,K,B,I,G,L
123,BCDFGIJL,D,F,C,I,B,J,G,L
124,BCDFGIJK,D,F,C,K,B,J,G,I
125,BCDFGHKL,D,F,C,K,B,H,G,L
126,BCDFGHJL,D,F,C,J,B,H,G,L
127,BCDFGHJK,C,F,H,K,B,J,G,D
128,BCDFGHIL,D,F,C,I,B,H,G,L
129,BCDFGHIK,D,F,C,K,B,H,G,I
130,BCDFGHIJ,C,F,H,I,B,J,G,D
131,BCDEIJKL,C,D,E,K,B,I,J,L
132,BCDEHJKL,C,D,E,K,B,H,J,L
133,BCDEHIKL,C,D,E,K,B,H,I,L
134,BCDEHIJL,C,D,E,I,B,H,J,L
135,BCDEHIJK,C,D,E,K,B,H,J,I
136,BCDEGJKL,C,D,E,K,B,J,G,L
137,BCDEGIKL,C,D,E,K,B,I,G,L
138,BCDEGIJL,C,D,E,I,B,J,G,L
139,BCDEGIJK,C,D,E,K,B,J,G,I
140,BCDEGHKL,C,D,E,K,B,H,G,L
141,BCDEGHJL,C,D,H,E,B,J,G,L
142,BCDEGHJK,C,D,H,K,B,J,G,E
143,BCDEGHIL,C,D,E,I,B,H,G,L
144,BCDEGHIK,C,D,E,K,B,H,G,I
145,BCDEGHIJ,C,D,H,I,B,J,G,E
146,BCDEFJKL,D,F,C,K,B,E,J,L
147,BCDEFIKL,D,F,C,K,B,I,E,L
148,BCDEFIJL,D,F,C,I,B,E,J,L
149,BCDEFIJK,D,F,C,K,B,E,J,I
150,BCDEFHKL,D,F,C,K,B,H,E,L
151,BCDEFHJL,D,F,C,E,B,H,J,L
152,BCDEFHJK,D,F,C,K,B,H,J,E
153,BCDEFHIL,D,F,C,I,B,H,E,L
154,BCDEFHIK,D,F,C,K,B,H,E,I
155,BCDEFHIJ,D,F,C,I,B,H,J,E
156,BCDEFGKL,D,F,C,K,B,E,G,L
157,BCDEFGJL,D,F,C,E,B,J,G,L
158,BCDEFGJK,D,F,C,K,B,J,G,E
159,BCDEFGIL,D,F,C,I,B,E,G,L
160,BCDEFGIK,D,F,C,K,B,E,G,I
161,BCDEFGIJ,D,F,C,I,B,J,G,E
162,BCDEFGHL,D,F,C,E,B,H,G,L
163,BCDEFGHK,D,F,C,K,B,H,G,E
